iter	Passed	Remaining
0	0	19
1	0	21
2	0	21
3	0	19
4	0	18
5	1	18
6	1	18
7	1	18
8	1	18
9	2	18
10	2	18
11	2	17
12	2	17
13	2	17
14	3	17
15	4	24
16	4	24
17	5	23
18	5	22
19	5	22
20	5	21
21	5	21
22	6	20
23	6	20
24	6	19
25	6	19
26	6	18
27	7	18
28	7	18
29	7	17
30	7	17
31	8	17
32	8	16
33	8	16
34	8	16
35	9	16
36	9	15
37	9	15
38	9	15
39	10	16
40	11	15
41	11	15
42	11	14
43	11	14
44	11	14
45	12	14
46	12	13
47	12	13
48	12	13
49	12	12
50	13	12
51	13	12
52	13	11
53	13	11
54	13	11
55	13	10
56	14	10
57	14	10
58	14	10
59	14	9
60	15	9
61	15	9
62	15	9
63	15	8
64	16	8
65	16	8
66	16	8
67	17	8
68	17	7
69	17	7
70	17	7
71	18	7
72	18	6
73	18	6
74	18	6
75	19	6
76	19	5
77	19	5
78	20	5
79	20	5
80	20	4
81	20	4
82	20	4
83	21	4
84	21	3
85	21	3
86	22	3
87	22	3
88	22	2
89	22	2
90	23	2
91	23	2
92	23	1
93	23	1
94	24	1
95	24	1
96	24	0
97	24	0
98	25	0
99	25	0
