iter	Passed	Remaining
0	0	333
1	0	339
2	0	323
3	1	309
4	1	297
5	1	285
6	2	294
7	2	286
8	2	290
9	2	290
10	3	288
11	3	288
12	3	293
13	4	288
14	4	285
15	4	283
16	4	281
17	5	279
18	5	277
19	5	274
20	5	274
21	6	280
22	6	278
23	6	277
24	7	275
25	7	274
26	7	272
27	7	272
28	8	272
29	8	272
30	8	271
31	8	269
32	9	268
33	9	267
34	9	266
35	9	263
36	10	262
37	10	263
38	10	262
39	10	261
40	11	260
41	11	258
42	11	257
43	11	257
44	12	256
45	12	256
46	12	256
47	12	255
48	13	254
49	13	254
50	13	253
51	13	253
52	14	252
53	14	252
54	14	251
55	14	250
56	15	250
57	15	250
58	15	249
59	15	249
60	16	250
61	16	249
62	16	248
63	16	248
64	17	247
65	18	258
66	18	257
67	18	257
68	19	256
69	19	256
70	19	255
71	19	255
72	20	254
73	20	255
74	20	254
75	20	254
76	21	254
77	21	253
78	21	253
79	21	252
80	22	251
81	22	251
82	22	249
83	22	249
84	23	249
85	23	248
86	23	248
87	24	253
88	24	253
89	25	253
90	25	252
91	25	252
92	25	251
93	26	250
94	26	250
95	26	250
96	26	250
97	27	250
98	27	250
99	27	249
100	28	249
101	28	248
102	28	248
103	28	248
104	29	247
105	29	247
106	29	246
107	29	245
108	30	245
109	30	245
110	30	244
111	30	244
112	31	243
113	31	243
114	31	243
115	31	242
116	32	241
117	32	241
118	32	241
119	32	241
120	33	240
121	33	239
122	33	239
123	33	239
124	34	239
125	34	238
126	34	239
127	35	239
128	35	238
129	35	238
130	35	237
131	36	237
132	36	237
133	36	236
134	36	236
135	37	236
136	37	235
137	37	235
138	38	235
139	38	234
140	38	234
141	38	233
142	38	232
143	39	232
144	39	231
145	39	231
146	39	230
147	40	230
148	40	229
149	40	229
150	40	229
151	41	228
152	41	228
153	41	227
154	41	227
155	41	227
156	42	226
157	42	226
158	42	225
159	42	225
160	43	224
161	43	223
162	43	223
163	43	223
164	44	222
165	44	222
166	44	222
167	44	221
168	45	221
169	45	221
170	45	221
171	45	220
172	46	220
173	46	220
174	46	220
175	47	220
176	47	219
177	47	219
178	47	218
179	47	218
180	48	217
181	48	217
182	48	217
183	48	216
184	49	216
185	49	216
186	49	216
187	49	215
188	50	215
189	50	214
190	50	214
191	50	214
192	51	213
193	51	213
194	51	213
195	52	213
196	52	213
197	52	213
198	52	213
199	53	212
200	53	212
201	53	212
202	53	211
203	54	211
204	54	211
205	54	211
206	55	210
207	55	210
208	55	210
209	55	209
210	56	209
211	56	209
212	56	208
213	56	208
214	57	208
215	57	208
216	57	208
217	57	207
218	58	207
219	58	207
220	58	206
221	58	206
222	59	205
223	59	205
224	59	205
225	60	205
226	60	206
227	60	206
228	61	205
229	61	205
230	61	205
231	61	205
232	62	205
233	62	205
234	62	204
235	63	204
236	63	204
237	63	204
238	64	204
239	64	203
240	64	203
241	64	203
242	65	202
243	65	202
244	65	202
245	65	201
246	66	201
247	66	201
248	66	200
249	66	200
250	67	200
251	67	199
252	67	199
253	67	199
254	68	199
255	68	198
256	68	198
257	68	198
258	69	197
259	69	197
260	69	197
261	69	197
262	70	196
263	70	196
264	70	196
265	70	195
266	71	195
267	71	195
268	71	195
269	72	195
270	72	194
271	72	194
272	73	194
273	73	194
274	73	194
275	73	193
276	74	193
277	74	193
278	74	193
279	75	193
280	75	193
281	75	192
282	75	192
283	76	192
284	76	191
285	76	191
